Año	Título	Corpus estilométrico
1966	Quiéreme a mí	No
1966	Sólo él la conoció	No
1966	Su amor no es una aventura	No
1966	Su noviazgo fue así	No
1966	Su traición y mi destino	No
1966	Te equivocaste conmigo	No
1966	Te prefiero a ti	Sí
1966	Tú la querrás más	Sí
1966	Vamos a casarnos los dos	No
1966	Vengo a vivir contigo	No
1966	Vuelve el ayer	No
1966	Y eligió la felicidad	Sí
1967	Ahora no te puedo olvidar	No
1967	Ahora no te voy a olvidar	No
1967	Apasionadamente frívolo	No
1967	Aquellos besos	No
1967	Conmigo olvidarás tu pasado	Sí
1967	Detrás de la puerta	No
1967	Dime si eres ella	Sí
1967	Esta mujer es mía	Sí
1967	Estabas solo	No
1967	Estás casado con otra	Sí
1967	Estuve con mi marido	No
1967	He venido engañada	Sí
1967	He vuelto para verte	Sí
1967	Inquietante intimidad	Sí
1967	La sombra de un recuerdo	Sí
1967	Las tinieblas de mi vida	No
1967	Le destrozaste la vida	Sí
1967	Me apasiona tu obsesión	Sí
1967	Me callé por no dañarte	No
1967	Me casé con un desconocido	No
1967	Mi querido fanfarrón	No
1967	No me culpes a mí	Sí
1967	No me humilles así	No
1967	No me persigas así	No
1967	No me venderé nunca	No
1967	No mereces mi amor	No
1967	No mereces mi perdón	Sí
1967	No podía casarme con él	Sí
1967	No puede ser su marido	No
1967	No puedo ser tu marido	No
1967	No sé quién soy	No
1967	Nunca me recordaste	Sí
1967	Nunca seré así	Sí
1967	Olvida mi venganza	Sí
1967	Olvídate de aquel día	Sí
1967	Peligra nuestro amor	Sí
1967	Peligrosa rivalidad	No
1967	Por eso fui a buscarte	Sí
1967	Quiéreme y olvídala	Sí
1967	Raíz amarga	No
1967	Si no crees en mi verdad	No
1967	Siempre estuve así	No
1967	Sólo lo compadecí	Sí
1967	Sueño imposible	No
1967	Te ayudaré siempre	Sí
1967	Te eligió mi corazón	No
1967	Te odio por ser de otro	Sí
1967	Tengo que abandonarte	No
1967	Tu carita de niña	No
1967	Tu pecado me condena	No
1967	Vengas en mí tu dolor	No
1968	¡Si yo pudiera cambiar!	Sí
1968	Angustiosa inquietud	Sí
1968	Aquella noche en el río	No
1968	Así me metí allí	Sí
1968	Bendita equivocación	Sí
1968	Consuélate conmigo	No
1968	Descúbreme ese misterio	Sí
1968	Detén mi caída	Sí
1968	El problema de Luima	Sí
1968	Huyes de ti misma	No
1968	La boda de Dolca Ortiz	Sí
1968	La culpa la tuvieron ellos	No
1968	La solución de Andrea	No
1968	Las inquietudes de Cristina	Sí
1968	Lastimas con tu tortura	Sí
1968	Lo supe después	No
1968	Me estabas conquistando	No
1968	Me estás abandonando	Sí
1968	Me estoy acostumbrando	No
1968	Me impresiona tu ignorancia	No
1968	Me obligaron a casarme	No
1968	Me sentía sola	No
1968	Me siento decepcionada	Sí
1968	Mi compromiso con Burt	No
1968	Mi marido es un celoso	No
1968	Negocio matrimonial	Sí
1968	No me obligues a decirlo	No
1968	No te cases por piedad	Sí
1968	No te engañes a ti misma	Sí
1968	No te quería	No
1968	No traté de engañarte	No
1968	Nunca te engañé	No
1968	Nunca te olvidé	No
1968	Pagarás tu mentira	Sí
1968	Pienso enamorarte	No
1968	Prudente pasión	No
1968	Soy poco para ti	Sí
1968	Tu marido está aquí	No
1968	Tú no eres mi marido	No
1968	Tu noche de boda	Sí
1968	Turbadora realidad	No
1968	Tus tristes complejos	No
1968	Una noche en el balcón	No
1968	Venganza frustrada	Sí
1968	Ya sé cómo eres	Sí
1968	Yo estaba aquí	No
1968	Yo no soy como ella	Sí
1968	Yo sé que te pasa	Sí
1969	¡Cuánto se puede querer!	No
1969	¿Qué hiciste conmigo?	Sí
1969	¿Qué le pasa a tu marido?	No
1969	¿Qué tienes contra mí?	Sí
1969	A tu lado no es vivir	No
1969	Aquella chica está aquí	No
1969	Busco una millonaria	No
1969	Contigo encontré la paz	Sí
1969	Debéis casaros	No
1969	Disculpa mi timidez	Sí
1969	El incasable	No
1969	Ella no tenía la culpa	Sí
1969	Eres demasiado joven	No
1969	Eres un embustero	No
1969	Estaba destinada para mí	No
1969	Estás casada conmigo	Sí
1969	Has jugado con fuego	No
1969	La novia viuda	No
1969	Me siento culpable	No
1969	Me tienes en tinieblas	No
1969	Me vence tu sensibilidad	No
1969	No iré a buscarte	No
1969	No me basta tu ternura	No
1969	No me burlo de ti	Sí
1969	No me pidas que te ame	No
1969	No nos entendemos	Sí
1969	No puedo llenar tu soledad	No
1969	No quise tu orgullo	Sí
1969	No sabes querer	Sí
1969	No sé por qué te casaste	Sí
1969	No sufras por mi dolor	No
1969	No te cambio por otra	No
1969	No te has quedado sola	No
1969	No te merezco	No
1969	Nunca me comprendiste	No
1969	Nunca te tomé en broma	No
1969	Por casarse él con otra	No
1969	Prefiero tu vida	No
1969	Refúgiate en mí	No
1969	Se busca profesor	No
1969	Si no me comprendes	Sí
1969	Si sabes que te quiero	No
1969	Si te casas tú conmigo	Sí
1969	Sólo supe quererte	No
1969	Te domina la soledad	No
1969	Te duele mi pecado	No
1969	Tendré que casarme	No
1969	Tiene la culpa mi hija	No
1969	Tu sacrificio no es vano	No
1970	¿Por qué te casaste conmigo?	Sí
1970	Ahora ya te conozco	No
1970	Al fin te encontré	Sí
1970	Aprendí contigo	No
1970	Aquel desconocido	Sí
1970	Aunque sea sin amor	No
1970	Defenderé esta causa	No
1970	Déjame consolarte	Sí
1970	Déjame verte todos los días	Sí
1970	Dejaste de quererme	Sí
1970	El silencio de tu cariño	No
1970	Él y sus sobrinos	No
1970	En ti confío	No
1970	Estaba destinada para ti	No
1970	Estoy casada con él	No
1970	Lección de amor	No
1970	Me has confundido	Sí
1970	Me humilla tu orgullo	No
1970	Me juzgaste a la ligera	No
1970	Me obligaron a dejarte	No
1970	No conocías a tu hermano	No
1970	No engañes a las dos	Sí
1970	No intento redimirte	No
1970	No me mires así	No
1970	No me pesa quererte	No
1970	No quisiste retenerme	No
1970	No renuncies por tu hijo	No
1970	No sabía que estabas casado	No
1970	No sé qué me pasa	Sí
1970	No tienes derecho a juzgarme	No
1970	Nos casamos por amor	No
1970	Nunca me doblegarás	No
1970	Odio tus aventuras	Sí
1970	Pídeme que sea tu esposa	No
1970	Quédate con nosotros	Sí
1970	Recuerdos que vuelven	No
1970	Sé mi esposa	No
1970	Siempre te busqué	Sí
1970	Sólo me quedas tú	No
1970	Solos… sin querer	Sí
1970	Soy tu invitada	No
1970	Su destino en doce días	Sí
1970	Tarde vuelves	No
1970	Te atreviste por mí	Sí
